hit text: word,count
ik,128449
je,122231
het,70803
Dat,67712
die,43827
Er,42855
Ze,41930
wat,37231
we,36260
hij,35848
hier,18960
mijn,18830
Dit,17041
me,16541
geen,16337
jij,15644
meer,13658
zijn,13512
u,13167
daar,12254
haar,11854
hem,11311
deze,10536
mij,10408
iets,10237
waar,9842
veel,9238
ons,8587
hun,7229
Wie,6848
alles,6644
zich,6463
jullie,6154
jou,5473
Wij,5416
Onze,5011
"'t",4588
alle,4428
niks,4427
iemand,4337
Zij,3839
niets,3726
Iedereen,3284
uw,3013
Men,2923
zo'n,2806
m'n,2780
elke,2551
welke,2506
Niemand,2440
z'n,2399
elkaar,2351
Enkele,2040
hen,1925
jouw,1899
minder,1704
Al,1596
Elk,1237
weinig,1161
enige,1085
meeste,1033
"'m",987
meest,982
jezelf,969
zoiets,934
welk,916
ergens,897
ene,784
overal,780
sommige,711
vele,705
mekaar,683
iedere,671
zichzelf,626
ieder,588
ie,565
Beide,561
mezelf,547
nergens,449
enkel,391
allebei,349
Sommigen,328
zulke,297
allen,247
beiden,243
Velen,220
degene,213
mijne,181
meerdere,180
enig,162
de,148
aller,132
zn,123
meesten,122
teveel,119
"één",112
minst,110
wiens,105
minste,105
diegene,95
Gij,89
hetgeen,81
jouwe,76
mv,70
onszelf,70
zijne,67
Ikke,64
Iemands,61
diens,60
uwe,57
alletwee,56
degenen,56
da,55
ikzelf,51
"'n",50
weinige,43
t,42
diegenen,41
d'r,40
weinigen,40
elkaars,39
andermans,37
uzelf,36
mijzelf,35
gene,35
datgene,34
dien,33
dienen,33
dezer,31
mi,27
mindere,27
Ge,25
mekaars,24
ieders,23
Enkelen,23
menig,22
hare,20
enigen,19
"'k",17
hemzelf,17
zulk,16
oe,14
mijnen,13
m.,13
genen,12
wier,12
eenieder,11
watte,11
"-ie",10
wijzelf,10
Waw,9
jijzelf,9
mijns,9
henzelf,9
elkander,9
noppes,9
hijzelf,9
ginds,8
zijnen,8
Ja.,7
ln,7
zijzelf,7
Dees,7
under,6
niemands,6
Dezen,6
Nikske,6
dies,5
alleman,5
ZET,5
em,5
Bat,5
ettelijke,5
minsten,5
der,5
beider,4
tie,4
mich,4
dewelke,4
uwen,4
ij,4
wieder,4
zijner,4
onzen,4
iet,3
ke,3
hunne,3
Wiene,3
kW,3
Wijlen,3
gulle,3
aIIes,3
vij,3
hetgene,3
onzer,3
haarzelf,3
verbrodde,2
zo`n,2
ziijn,2
zulle,2
zovelen,2
ZEER,2
enen,2
datte,2
Dis,2
Ich,2
mijner,2
GOLF,2
D-Me,2
Selene,2
menigeen,2
Hoera,2
d?t,2
Herpes,2
hie,2
Hatsjie,2
iederen,2
SURF,2
Hat,2
habe,1
ijezelf,1
diek,1
dut,1
farrell,1
diet,1
Waat,1
brillenketen,1
evenveel,1
ride-in,1
acttien,1
gerechtstolk,1
wadde,1
màg,1
ziech,1
Basisprincipes,1
nop,1
Sat,1
m,1
blootvoets,1
Wak,1
Patrouille,1
huin,1
meerder,1
hoofdtovenaar,1
BETLEHEM,1
eIk,1
STADSOMROEP,1
mezelve,1
mz,1
Alléén,1
i-ik,1
Máár,1
Euh...één,1
veels,1
dokterstudies,1
Mab,1
omdatje,1
JO,1
BACKSTAGE,1
daaro,1
Ik-Ik,1
Ve,1
keiveel,1
hunner,1
meerderen,1
J'en,1
dezes,1
junder,1
joezelf,1
hoe-noemt-hij-daar,1
WOLF,1
eenieders,1
Wettige,1
ju,1
Uitverkorene,1
"©De",1
Zet'm,1
Tja...ik,1
julle,1
daro,1
Mét,1
Vestingstraat,1
Stt..ik,1
Arlene,1
ulder,1
opjezelf,1
Diene,1
julie,1
Servelle,1
z'o,1
AI,1
Tagliatelle,1
Schuunen,1
veler,1
hullen,1
E?n,1
elkeen,1
zie,1
miljaardedju,1
ESKENS,1
Midi,1
NOEM,1
Do,1
inze,1
datjezelf,1
voeltjezelf,1
zulkdanige,1
MacNab,1
Grijp'm,1
Jolene,1
h?m,1
E'en,1
haarzelve,1
zoveel,1
DEWOLF,1
Gaje,1
HHij,1
with,1
WILLEM,1
iek,1
phone-in,1
spell,1
Kathelene,1
dedju,1
rie,1
Demosthene,1
